individual_id,year,month,day,date,decimal_longitude,decimal_latitude,hour,prev_lat,prev_lon,distance_km,delta_lat,delta_lon,angle_degrees,date_format
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,23,2002-06-23 22:16:00,-30.4934149888928,-49.1378740976061,22,-49.4485358703092,-30.3714183405243,35.65895135010151,0.31066177270309936,-0.12199664836849777,111.43989937154063,2002-06-23T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,24,2002-06-24 22:16:00,-30.7843097996578,-48.7934171484139,22,-49.1378740976061,-30.4934149888928,43.79467552827138,0.3444569491921996,-0.29089481076500334,130.18118102880956,2002-06-24T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,25,2002-06-25 22:16:00,-30.8177368233584,-48.7321221832845,22,-48.7934171484139,-30.7843097996578,7.242696565971425,0.061294965129398804,-0.03342702370059669,118.60570928327957,2002-06-25T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,26,2002-06-26 22:16:00,-30.7167567651799,-48.8991435628145,22,-48.7321221832845,-30.8177368233584,19.98960268045234,-0.16702137952999863,0.10098005817850009,-58.84311041621821,2002-06-26T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,27,2002-06-27 22:16:00,-30.5464221156919,-48.9963383110928,22,-48.8991435628145,-30.7167567651799,16.478239452726147,-0.097194748278298,0.17033464948799804,-29.709536762544417,2002-06-27T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,28,2002-06-28 22:16:00,-30.9726078707233,-49.1477186191525,22,-48.9963383110928,-30.5464221156919,35.315084123868445,-0.15138030805970004,-0.4261857550314012,-160.44506578288957,2002-06-28T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,29,2002-06-29 22:16:00,-31.3469949279793,-49.3320893476661,22,-49.1477186191525,-30.9726078707233,34.04463686393097,-0.18437072851359915,-0.37438705725599775,-153.78158859887648,2002-06-29T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,30,2002-06-30 22:16:00,-31.5547487647969,-49.4404959431746,22,-49.3320893476661,-31.3469949279793,19.272818029355307,-0.10840659550849807,-0.20775383681760218,-152.44430766845684,2002-06-30T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,1,2002-07-01 22:16:00,-31.7330247906099,-49.6438679624121,22,-49.4404959431746,-31.5547487647969,26.016342365397072,-0.2033720192375057,-0.17827602581299828,-131.23782326745558,2002-07-01T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,2,2002-07-02 22:16:00,-31.7444257933192,-49.6302112953875,22,-49.6438679624121,-31.7330247906099,1.7262887464635586,0.01365666702460544,-0.01140100270929878,129.85616023554329,2002-07-02T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,3,2002-07-03 22:16:00,-31.7720340741244,-49.8019726738205,22,-49.6302112953875,-31.7444257933192,19.20186111209024,-0.1717613784330041,-0.02760828080520028,-99.1314035584788,2002-07-03T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,4,2002-07-04 22:16:00,-31.9712544741034,-50.0192155244836,22,-49.8019726738205,-31.7720340741244,28.054150169603844,-0.2172428506630979,-0.19922039997900143,-132.5220707144309,2002-07-04T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,5,2002-07-05 22:16:00,-31.8445071785166,-50.2955580610833,22,-50.0192155244836,-31.9712544741034,32.02709448474324,-0.27634253659969943,0.12674729558679942,-65.36096497982527,2002-07-05T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,6,2002-07-06 22:16:00,-31.7328353676347,-50.654230207279,22,-50.2955580610833,-31.8445071785166,40.65790889721339,-0.3586721461957012,0.11167181088190148,-72.7061339794128,2002-07-06T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,7,2002-07-07 22:16:00,-31.061268738891,-50.9905814540569,22,-50.654230207279,-31.7328353676347,60.20082886050527,-0.33635124677790174,0.671566628743701,-26.60380131126674,2002-07-07T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,8,2002-07-08 22:16:00,-30.5302372197585,-51.1455197345867,22,-50.9905814540569,-31.061268738891,40.91002450098057,-0.15493828052979808,0.5310315191324975,-16.265582814966475,2002-07-08T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,9,2002-07-09 22:16:00,-30.0968633192377,-51.2731104257569,22,-51.1455197345867,-30.5302372197585,33.35673784616677,-0.12759069117019806,0.4333739005208024,-16.405087589836526,2002-07-09T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,10,2002-07-10 22:16:00,-29.8947531236617,-51.2732250903262,22,-51.2731104257569,-30.0968633192377,14.059684658207425,-0.00011466456930264712,0.2021101955759974,-0.03250600573181315,2002-07-10T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,11,2002-07-11 22:16:00,-29.6857378105618,-51.233737372425,22,-51.2732250903262,-29.8947531236617,15.194505575591363,0.03948771790120276,0.20901531309990062,10.698376088423364,2002-07-11T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,12,2002-07-12 22:16:00,-29.1977107372155,-51.2347216415714,22,-51.233737372425,-29.6857378105618,33.97820875210975,-0.0009842691464001518,0.48802707334630213,-0.11555586689791719,2002-07-12T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,13,2002-07-13 22:16:00,-28.6141680404025,-50.8815459999919,22,-51.2347216415714,-29.1977107372155,56.617094381584515,0.3531756415794973,0.583542696812998,31.18344732155904,2002-07-13T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,14,2002-07-14 22:16:00,-28.013788224376,-50.5656362062849,22,-50.8815459999919,-28.6141680404025,54.95497005296767,0.3159097937070001,0.6003798160264999,27.752592920011633,2002-07-14T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,15,2002-07-15 22:16:00,-27.7548688078581,-50.3726744000731,22,-50.5656362062849,-28.013788224376,28.21664279040753,0.19296180621179815,0.2589194165179016,36.69562132077409,2002-07-15T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,16,2002-07-16 22:16:00,-27.831377199625,-49.819139762445,22,-50.3726744000731,-27.7548688078581,61.79171092385106,0.5535346376281041,-0.07650839176690027,97.86944165111582,2002-07-16T00:00:00
